x         y

0.100   0.500
0.158   0.613
0.216   0.723
0.274   0.829
0.332   0.926
0.390   1.013
0.448   1.088
0.506   1.147
0.564   1.188
0.622   1.209
0.680   1.207
0.738   1.179
0.796   1.133
0.854   1.081
0.912   1.034
0.970   1.004
1.028   1.004
1.086   1.038
1.144   1.105
1.202   1.202
1.260   1.327
1.318   1.478
1.376   1.654
1.434   1.851
1.492   2.069
1.550   2.221
1.608   2.335
1.666   2.373
1.724   2.286
1.782   2.025
1.840   3.064
1.898   4.555
1.956   5.826
2.014   6.888
2.072   7.753
2.130   8.431
2.188   8.935
2.246   9.277
2.304   9.467
2.362   9.518
2.420   9.441
2.478   9.248
2.536   8.951
2.594   8.560
2.652   8.088
2.710   7.547
2.768   6.947
2.826   6.301
2.884   5.620
2.942   4.916
3.000   4.200
